# m h(m) T/T_c 
2.790000 3.823105 1.000000
2.800000 3.912422 1.000000
2.810000 3.993403 1.000000
2.820000 4.068311 1.000000
2.830000 4.138574 1.000000
2.840000 4.205145 1.000000
2.850000 4.268680 1.000000
2.860000 4.329594 1.000000
2.870000 4.388365 1.000000
2.880000 4.445231 1.000000
2.890000 4.500488 1.000000
2.900000 4.554317 1.000000
2.910000 4.606776 1.000000
2.920000 4.658104 1.000000
2.930000 4.708419 1.000000
2.940000 4.757723 1.000000
2.950000 4.806192 1.000000
2.960000 4.853828 1.000000
2.970000 4.900809 1.000000
2.980000 4.947016 1.000000
2.990000 4.992628 1.000000
3.000000 5.037703 1.000000
3.010000 5.082183 1.000000
3.020000 5.126127 1.000000
3.030000 5.169655 1.000000
3.040000 5.212706 1.000000
3.050000 5.255280 1.000000
3.060000 5.297498 1.000000
3.070000 5.339358 1.000000
3.080000 5.380861 1.000000
3.090000 5.422006 1.000000
3.100000 5.462795 1.000000
3.110000 5.503345 1.000000
3.120000 5.543538 1.000000
3.130000 5.583492 1.000000
3.140000 5.623149 1.000000
3.150000 5.662568 1.000000
3.160000 5.701749 1.000000
3.170000 5.740691 1.000000
3.180000 5.779395 1.000000
3.190000 5.817921 1.000000
3.200000 5.856208 1.000000
3.210000 5.894317 1.000000
3.220000 5.932247 1.000000
3.230000 5.969999 1.000000
3.240000 6.007512 1.000000
3.250000 6.044906 1.000000
3.260000 6.082122 1.000000
3.270000 6.119159 1.000000
3.280000 6.156077 1.000000
3.290000 6.192876 1.000000
3.300000 6.229496 1.000000
3.310000 6.265937 1.000000
3.320000 6.302319 1.000000
3.330000 6.338523 1.000000
3.340000 6.374607 1.000000
3.350000 6.410572 1.000000
3.360000 6.446418 1.000000
3.370000 6.482145 1.000000
3.380000 6.517753 1.000000
3.390000 6.553301 1.000000
3.400000 6.588671 1.000000
3.410000 6.623981 1.000000
3.420000 6.659172 1.000000
3.430000 6.694304 1.000000
3.440000 6.729316 1.000000
3.450000 6.764269 1.000000
3.460000 6.799103 1.000000
3.470000 6.833818 1.000000
3.480000 6.868473 1.000000
3.490000 6.903069 1.000000
3.500000 6.937605 1.000000
3.510000 6.972022 1.000000
3.520000 7.006379 1.000000
3.530000 7.040618 1.000000
3.540000 7.074796 1.000000
3.550000 7.108975 1.000000
3.560000 7.142975 1.000000
3.570000 7.176976 1.000000
3.580000 7.210916 1.000000
3.590000 7.244797 1.000000
3.600000 7.278559 1.000000
3.610000 7.312321 1.000000
3.620000 7.345964 1.000000
3.630000 7.379607 1.000000
3.640000 7.413131 1.000000
3.650000 7.446655 1.000000
3.660000 7.480060 1.000000
3.670000 7.513464 1.000000
3.680000 7.546809 1.000000
3.690000 7.580095 1.000000
3.700000 7.613321 1.000000
3.710000 7.646488 1.000000
3.720000 7.679595 1.000000
3.730000 7.712702 1.000000
3.740000 7.745749 1.000000
3.750000 7.778737 1.000000
3.760000 7.811666 1.000000
3.770000 7.844594 1.000000
3.780000 7.877403 1.000000
3.790000 7.910212 1.000000
3.800000 7.943022 1.000000
3.810000 7.975712 1.000000
3.820000 8.008402 1.000000
3.830000 8.041092 1.000000
3.840000 8.073663 1.000000
3.850000 8.106235 1.000000
3.860000 8.138806 1.000000
3.870000 8.171258 1.000000
3.880000 8.203710 1.000000
3.890000 8.236162 1.000000
3.900000 8.268554 1.000000
3.910000 8.300887 1.000000
3.920000 8.333220 1.000000
3.930000 8.365493 1.000000
3.940000 8.397767 1.000000
3.950000 8.429981 1.000000
3.960000 8.462135 1.000000
3.970000 8.494289 1.000000
3.980000 8.526444 1.000000
3.990000 8.558538 1.000000
4.000000 8.590633 1.000000
# m h(m) T/T_c 
0.010000 1.066887 2.500000
0.020000 1.125836 2.500000
0.030000 1.179962 2.500000
0.040000 1.230873 2.500000
0.050000 1.279581 2.500000
0.060000 1.326741 2.500000
0.070000 1.372829 2.500000
0.080000 1.418142 2.500000
0.090000 1.463039 2.500000
0.100000 1.507579 2.500000
0.110000 1.552059 2.500000
0.120000 1.596480 2.500000
0.130000 1.641079 2.500000
0.140000 1.685916 2.500000
0.150000 1.730992 2.500000
0.160000 1.776484 2.500000
0.170000 1.822393 2.500000
0.180000 1.868719 2.500000
0.190000 1.915581 2.500000
0.200000 1.962979 2.500000
0.210000 2.010972 2.500000
0.220000 2.059561 2.500000
0.230000 2.108745 2.500000
0.240000 2.158584 2.500000
0.250000 2.209019 2.500000
0.260000 2.260108 2.500000
0.270000 2.311853 2.500000
0.280000 2.364253 2.500000
0.290000 2.417307 2.500000
0.300000 2.470957 2.500000
0.310000 2.525262 2.500000
0.320000 2.580222 2.500000
0.330000 2.635778 2.500000
0.340000 2.691929 2.500000
0.350000 2.748615 2.500000
0.360000 2.805957 2.500000
0.370000 2.863775 2.500000
0.380000 2.922189 2.500000
0.390000 2.981139 2.500000
0.400000 3.040564 2.500000
0.410000 3.100467 2.500000
0.420000 3.160905 2.500000
0.430000 3.221760 2.500000
0.440000 3.283032 2.500000
0.450000 3.344780 2.500000
0.460000 3.406885 2.500000
0.470000 3.469407 2.500000
0.480000 3.532346 2.500000
0.490000 3.595583 2.500000
0.500000 3.659177 2.500000
0.510000 3.723129 2.500000
0.520000 3.787378 2.500000
0.530000 3.851984 2.500000
0.540000 3.916828 2.500000
0.550000 3.981971 2.500000
0.560000 4.047351 2.500000
0.570000 4.113029 2.500000
0.580000 4.178945 2.500000
0.590000 4.245100 2.500000
0.600000 4.311433 2.500000
0.610000 4.378004 2.500000
0.620000 4.444814 2.500000
0.630000 4.511802 2.500000
0.640000 4.578969 2.500000
0.650000 4.646314 2.500000
0.660000 4.713838 2.500000
0.670000 4.781541 2.500000
0.680000 4.849422 2.500000
0.690000 4.917422 2.500000
0.700000 4.985542 2.500000
0.710000 5.053840 2.500000
0.720000 5.122257 2.500000
0.730000 5.190853 2.500000
0.740000 5.259508 2.500000
0.750000 5.328342 2.500000
0.760000 5.397236 2.500000
0.770000 5.466248 2.500000
0.780000 5.535380 2.500000
0.790000 5.604631 2.500000
0.800000 5.673941 2.500000
0.810000 5.743371 2.500000
0.820000 5.812860 2.500000
0.830000 5.882468 2.500000
0.840000 5.952135 2.500000
0.850000 6.021922 2.500000
0.860000 6.091768 2.500000
0.870000 6.161674 2.500000
0.880000 6.231639 2.500000
0.890000 6.301724 2.500000
0.900000 6.371808 2.500000
0.910000 6.442012 2.500000
0.920000 6.512275 2.500000
0.930000 6.582598 2.500000
0.940000 6.652920 2.500000
0.950000 6.723362 2.500000
0.960000 6.793863 2.500000
0.970000 6.864364 2.500000
0.980000 6.934925 2.500000
0.990000 7.005605 2.500000
1.000000 7.076226 2.500000
1.010000 7.146965 2.500000
1.020000 7.217764 2.500000
1.030000 7.288563 2.500000
1.040000 7.359421 2.500000
1.050000 7.430280 2.500000
1.060000 7.501198 2.500000
1.070000 7.572176 2.500000
1.080000 7.643213 2.500000
1.090000 7.714250 2.500000
